Dispersion (ps/nm/km)

Wavelength (microns), Dispersion (ps/nm/km)
2.5, -829.774
2.40291, -706.945
2.31308, -592.147
2.22973, -488.828
2.15217, -397.731
2.07983, -318.276
2.0122, -249.371
1.94882, -189.804
1.88931, -138.415
1.83333, -94.1619
1.78058, -56.1325
1.73077, -23.5375
1.68367, 4.29867
1.63907, 27.9568
1.59677, 47.9343
1.5566, 64.6574
1.5184, 78.4914
1.48204, 89.7496
1.44737, 98.7023
1.41429, 105.58
1.38268, 110.584
1.35246, 113.883
1.32353, 115.629
1.29581, 115.946
1.26923, 114.945
1.24372, 112.723
1.21921, 109.359
1.19565, 104.926
1.17299, 99.4846
1.15116, 93.0867
1.13014, 85.7777
1.10987, 77.5962
1.09031, 68.5762
1.07143, 58.7448
1.05319, 48.1264
1.03556, 36.7414
1.01852, 24.606
1.00202, 11.7347
0.986056, -1.86269
0.970588, -16.1758
0.955598, -31.1992
0.941065, -46.9281
0.926966, -63.3586
0.913284, -80.4889
0.9, -98.3204
0.887097, -116.853
0.874558, -136.09
0.862369, -156.033
0.850515, -176.687
0.838983, -198.058
0.827759, -220.151
0.816832, -242.973
0.806189, -266.531
0.79582, -290.835
0.785714, -315.891
0.775862, -341.71
0.766254, -368.301
0.756881, -395.675
0.747734, -423.844
0.738806, -452.817
0.730088, -482.607
0.721574, -513.227
0.713256, -544.688
0.705128, -577.005
0.697183, -610.191
0.689415, -644.26
0.681818, -679.226
0.674387, -715.105
0.667116, -751.911
0.66, -789.66
0.653034, -828.367
0.646214, -868.051
0.639535, -908.726
0.632992, -950.41
0.626582, -993.121
0.620301, -1036.88
0.614144, -1081.7
0.608108, -1127.6
0.60219, -1174.6
0.596386, -1222.72
0.590692, -1271.98
0.585106, -1322.4
0.579625, -1374
0.574246, -1426.8
0.568966, -1480.83
0.563781, -1536.1
0.558691, -1592.63
0.553691, -1650.46
0.54878, -1709.6
0.543956, -1770.08
0.539216, -1831.92
0.534557, -1895.14
0.529979, -1959.78
0.525478, -2025.85
0.521053, -2093.38
0.516701, -2162.4
0.512422, -2232.93
0.508214, -2305.01
0.504073, -2378.65
0.5, -2453.9



